Location,Latitude,Longitude,Microplastic_Size_mm,Shape,Density,Polymer_Type,pH,Salinity,MP_Count_per_L,Industrial_Activity,Population_Density,Risk_Type,Risk_Level,Risk_Score,Author
San Juan City,14.6,121.0333,2,"Fiber, Fragment",1.38,"Polyester, Polyamide",7.0*,0,0.017,High (dense residential),Very High,Human Health,High,0.83,Romarate et al. (2023)
Manila City,14.5833,120.9833,2.5,"Fiber, Fragment, Film",1.38,"Polyester, PET",7.0*,0,0.015,Very High (industrial + traffic),Very High,Human Health,Very High,0.88,Romarate et al. (2023)
Valenzuela City,14.7,120.9833,1.5,"Fiber, Fragment",1.38,"Polyester, PP",7.0*,0,0.014,High (manufacturing),Very High,Human Health,High,0.8,Romarate et al. (2023)
Makati City,14.55,121.0333,2,"Fiber, Film",1.38,"Polyester, PET",7.0*,0,0.012,"Very High (traffic, commercial)",Very High,Human Health,High,0.84,Romarate et al. (2023)
Marikina City,14.65,121.1,2,"Fiber, Fragment",1.38,"Polyester, Polyamide",7.0*,0,0.011,High (urban area),High,Human Health,High,0.75,Romarate et al. (2023)
Parañaque City,14.4667,120.9833,2,"Fiber, Film",1.38,"Polyester, PET",7.0*,0,0.01,"High (residential, near bay)",High,Human Health,Medium,0.72,Romarate et al. (2023)
Quezon City,14.6333,121.0333,1.8,Fiber,1.38,Polyester,7.0*,0,0.002,High (urbanized),Very High,Human Health,Medium,0.65,Romarate et al. (2023)
Malabon City,14.6667,120.95,2.5,Fiber,1.38,Polyester,7.0*,0,0.001,High (coastal residential),High,Human Health,Low,0.6,Romarate et al. (2023)
Pasig City,14.5833,121.0833,2,"Fiber, Film, Granule",1.38,"Polyester, Polyamide",7.0*,0,0.01,High (urban industrial),Very High,Human Health,High,0.78,Romarate et al. (2023)
Las Piñas City,14.45,120.9833,2,"Fiber, Fragment, Film",1.38,"Polyester, PET",7.0*,0,0.005,Moderate (residential),High,Human Health,Medium,0.68,Romarate et al. (2023)
Navotas City,14.6667,120.95,2,"Fiber, Fragment",1.38,"Polyester, PP",7.0*,0,0.009,High (coastal industrial),High,Human Health,Medium,0.7,Romarate et al. (2023)
Taguig City,14.5167,121.05,2,"Fiber, Film",1.38,"Polyester, PET",7.0*,0,0.011,Very High (urban-commercial),Very High,Human Health,High,0.79,Romarate et al. (2023)
Pateros Municipality,14.55,121.0667,2,Fiber,1.38,Polyester,7.0*,0,0.008,Moderate (semi-urban),Medium,Human Health,Medium,0.66,Romarate et al. (2023)
Metro Manila (Regional Mean),14.6,121,2.1,Fiber-dominant,1.38,"Polyester, PET, PA",7,0,0.021,Very High,Very High,Human Health,Very High,0.86,Romarate et al. (2023)
Manila Bay (Harbor area),14.5833,120.9667,0.05*,Fragment,1.05,"Organotin (TBT, DBT, MBT)",8,33,0.64,"Very High (shipping, antifouling paint)",Very High,Ecological,Very High,0.92,Prudente et al. (1999)
Bacoor Bay (Cavite),14.45,120.9333,0.04,Fragment,1.05,"Organotin (TBT, DBT)",8,32,0.28,High (urbanized coastal area),High,Ecological,High,0.83,Prudente et al. (1999)
Sapian Bay (Capiz),11.5,122.7,0.03,Fragment,1.05,"Organotin (MBT, DBT, TBT)",8.2,34,0.001,"Low (aquaculture, low antifouling use)",Medium,Ecological,Low,0.5,Prudente et al. (1999)
"Maqueda Bay (Jiabong, Samar)",11.7667,125,0.03,Fragment,1.05,Organotin (TBT),8.3,33,0.004,Low (aquaculture),Medium,Ecological,Low,0.55,Prudente et al. (1999)
San Pedro Bay (Leyte),11.25,125,0.03,Fragment,1.05,"Organotin (TBT, DBT)",8.3,33,0.001,Low (mariculture),Low,Ecological,Low,0.46,Prudente et al. (1999)
Bataan Coast (Samal),14.7667,120.4667,0.05,Fragment,1.05,"Organotin (TBT), Pb",8.1,32,0.28,Moderate (industrial discharge),High,Ecological,High,0.81,Prudente et al. (1999)
Navotas-Manila Bay Zone,14.6667,120.95,0.05,Fragment,1.05,"Organotin (TBT), PCBs",8,33,0.32,Very High (port and shipyard),Very High,Ecological,Very High,0.89,Prudente et al. (1999)
Samar Coast (Villareal),11.5333,124.9833,0.03,Fragment,1.05,Organotin (TBT),8.3,33,0.002,Low (rural coast),Low,Ecological,Low,0.48,Prudente et al. (1999)
Batangas Bay,13.75,121.05,0.04,Fragment,1.05,"Organotin (TBT, DBT)",8,33,0.046,"High (shipping, oil terminals)",High,Ecological,High,0.84,Prudente et al. (1999)
Capiz Coast (Sapian Bay - Metal Analysis),11.5,122.7,0.03,Fragment,1.05,"Organotin + Trace Metals (Hg, Cd, Zn)",8.2,34,0.002,Moderate (coastal fisheries),Medium,Ecological,Medium,0.65,Prudente et al. (1999)
Samar (Jiabong - Metal Analysis),11.7667,125,0.03,Fragment,1.05,"Organotin + Trace Metals (Cd, Zn, Mn)",8.3,33,0.004,Low,Medium,Ecological,Low,0.52,Prudente et al. (1999)
"Leyte (Diit, Tacloban)",11.25,125,0.03,Fragment,1.05,"Organotin + Trace Metals (Cu, Zn)",8.3,33,0.001,Low,Medium,Ecological,Low,0.54,Prudente et al. (1999)
Cavite Coast (Bacoor Bay Metal Data),14.45,120.9333,0.05,Fragment,1.05,Organotin + Pb,8,32,0.28,High,High,Ecological,High,0.82,Prudente et al. (1999)
"Brgy. Maypangdan, Borongan City",11.6025,125.435,0.03,Microfragment (Other Shape),Moderate,Secondary Plastic (Unspecified),7.8,30 PSU,0.16,Low (Residential/Coastal Fishing),Moderate,Ecological,Low,2,A.V.G. Nibalvos et al.
"Brgy. Tabunan, Borongan City",11.6102,125.4284,0.03,Microfragment (Other Shape),Moderate,Secondary Plastic (Unspecified),7.9,31 PSU,0.16,Low (Residential/Coastal Fishing),Moderate,Ecological,Low,2,A.V.G. Nibalvos et al.
